split,metric,n_repeats,mean,std,min,q025,median,q975,max
test_easy,n,100,255.34,32.620319626350266,196.0,199.9,254.0,344.19999999999993,370.0
test_easy,pos,100,127.67,16.310159813175133,98.0,99.95,127.0,172.09999999999997,185.0
test_easy,valid_threshold,100,0.52558,0.20060178050913294,0.062,0.1397,0.52,0.9362999999999999,0.978
test_easy,valid_MCC,100,0.7398678164529039,0.05972044954429114,0.5846739327796959,0.6210236171376662,0.7451750635654,0.8356611506449091,0.8593823374370099
test_easy,AUROC,100,0.9271588005748497,0.02279689331055904,0.8818897637795274,0.8893524943390995,0.9261551480360009,0.9717799171793242,0.9859183673469387
test_easy,AUPRC,100,0.9298767803795527,0.024057546089295546,0.873891584315678,0.88494932882123,0.930315241016799,0.9724494131708015,0.9862010405997139
test_easy,MCC,100,0.695694493846877,0.05933508285476474,0.5244926535497997,0.5888696117730219,0.6957780023539886,0.8068768130012212,0.8341649650298018
test_easy,TN,100,109.27,14.370884566801141,65.0,87.95,110.0,139.04999999999998,163.0
test_easy,FP,100,18.4,9.314916895371464,3.0,4.0,17.0,36.0,43.0
test_easy,FN,100,21.2,11.525991707809132,2.0,4.475,20.0,49.0,59.0
test_easy,TP,100,106.47,21.4346340149193,56.0,69.375,106.0,159.0,169.0
test_hard,n,100,1315.0,0.0,1315.0,1315.0,1315.0,1315.0,1315.0
test_hard,pos,100,19.0,0.0,19.0,19.0,19.0,19.0,19.0
test_hard,valid_threshold,100,0.52558,0.20060178050913294,0.062,0.1397,0.52,0.9362999999999999,0.978
test_hard,valid_MCC,100,0.7398678164529039,0.05972044954429114,0.5846739327796959,0.6210236171376662,0.7451750635654,0.8356611506449091,0.8593823374370099
test_hard,AUROC,100,0.34039798570500324,0.060380650284839625,0.22835445094217025,0.24126766569200778,0.33723196881091616,0.47873923814165037,0.49910656270305387
test_hard,AUPRC,100,0.010738126694153461,0.0010043785872139634,0.0091434396449829,0.009310148236881215,0.010562534014373067,0.013377393074105506,0.013998760924487146
test_hard,MCC,100,-0.05681263606920177,0.03936082709134353,-0.13040529693132616,-0.11671605780223485,-0.06368599452751282,0.03977738279793532,0.05270881104638123
test_hard,TN,100,464.17,152.14593306919167,121.0,195.7,463.0,844.2499999999995,908.0
test_hard,FP,100,831.83,152.14593306919164,388.0,451.75,833.0,1100.3,1175.0
test_hard,FN,100,11.05,3.9984214056767122,0.0,3.0,11.5,17.0,18.0
test_hard,TP,100,7.95,3.9984214056767122,1.0,2.0,7.5,16.0,19.0
