model,analysis_set,n_excluded,n,pos,neg,threshold,AUROC,AUPRC,F1,MCC,Precision,Recall,Specificity,TN,FP,FN,TP
kmer13_LR,full_test_hard,0,1315,19,1296,0.452,0.27907732293697207,0.010576273703615725,0.01284796573875803,-0.10001729969716006,0.006557377049180328,0.3157894736842105,0.2986111111111111,387,909,13,6
kmer13_LR,exclude_11_explicit_antiHIV_negatives,11,1304,19,1285,0.452,0.2733155846815482,0.010581549014806423,0.01284796573875803,-0.10256273799885575,0.006557377049180328,0.3157894736842105,0.2926070038910506,376,909,13,6
kmer13_LR,delta_excluded_minus_full,11,-11,0,-11,0.452,-0.005761738255423865,5.2753111906972405e-06,0.0,-0.0025454383016956933,0.0,0.0,-0.006004107220060506,-11,0,0,0
ESM2-t6_mean_LR,full_test_hard,0,1315,19,1296,0.008,0.5465399610136452,0.019084955007113824,0.028679245283018868,0.010051340049340515,0.01454823889739663,1.0,0.006944444444444444,9,1287,0,19
ESM2-t6_mean_LR,exclude_11_explicit_antiHIV_negatives,11,1304,19,1285,0.008,0.5458939176735613,0.01926545605918181,0.028897338403041824,0.009553614860387144,0.014660493827160493,1.0,0.0062256809338521405,8,1277,0,19
ESM2-t6_mean_LR,delta_excluded_minus_full,11,-11,0,-11,0.008,-0.0006460433400838905,0.00018050105206798492,0.00021809312002295592,-0.0004977251889533713,0.00011225492976386225,0.0,-0.0007187635105923035,-1,-10,0,0
