split,setting,n,pos,best_thr_from_valid,best_valid_MCC,AUROC,AUPRC,F1,MCC,Precision,Recall,Specificity,TN,FP,FN,TP
valid,thr=0.5,216,108,0.452,0.7322666532168125,0.9080075445816186,0.8956034343793473,0.8516746411483254,0.7144652624715347,0.8811881188118812,0.8240740740740741,0.8888888888888888,96,12,19,89
valid,thr=0.452,216,108,0.452,0.7322666532168125,0.9080075445816186,0.8956034343793473,0.8625592417061612,0.7322666532168125,0.883495145631068,0.8425925925925926,0.8888888888888888,96,12,17,91
test_easy,thr=0.5,324,162,0.452,0.7322666532168125,0.9679926840420667,0.9743262480242558,0.8942598187311178,0.7846834982355181,0.8757396449704142,0.9135802469135802,0.8703703703703703,141,21,14,148
test_easy,thr=0.452,324,162,0.452,0.7322666532168125,0.9679926840420667,0.9743262480242558,0.8875739644970414,0.7683064754997451,0.8522727272727273,0.9259259259259259,0.8395061728395061,136,26,12,150
test_hard,thr=0.5,1315,19,0.452,0.7322666532168125,0.27907732293697207,0.010576273703615725,0.013215859030837005,-0.09320855611699541,0.006749156355455568,0.3157894736842105,0.31867283950617287,413,883,13,6
test_hard,thr=0.452,1315,19,0.452,0.7322666532168125,0.27907732293697207,0.010576273703615725,0.01284796573875803,-0.10001729969716006,0.006557377049180328,0.3157894736842105,0.2986111111111111,387,909,13,6
