label,best_thr_valid_MCC,valid_MCC,valid_F1,valid_precision,valid_recall,valid_specificity,valid_TP,valid_TN,valid_FP,valid_FN,valid_pos,valid_neg
MAP,0.025,1.0,1.0,1.0,1.0,1.0,4,107,0,0,4,107
VIP,0.115,0.903787,0.909091,1.0,0.833333,1.0,10,99,0,2,12,99
VEIP,0.225,0.870627,0.924731,0.914894,0.934783,0.938462,43,61,4,3,46,65
RTIP,0.08,0.848461,0.866667,0.8125,0.928571,0.969072,13,94,3,1,14,97
VINIP,0.705,0.833166,0.872727,0.923077,0.827586,0.97561,24,80,2,5,29,82
SFIP,0.455,0.816856,0.833333,0.909091,0.769231,0.989796,10,97,1,3,13,98
PIP,0.025,0.493135,0.4,0.25,1.0,0.972727,1,107,3,0,1,110
