label,best_thr_valid_MCC,valid_MCC,valid_F1,valid_precision,valid_recall,valid_specificity,valid_TP,valid_TN,valid_FP,valid_FN,valid_pos,valid_neg
MAP,0.3625,1.0,1.0,1.0,1.0,1.0,4,107,0,0,4,107
VEIP,0.78,0.909747,0.942529,1.0,0.891304,1.0,41,65,0,5,46,65
VIP,0.4225,0.853195,0.857143,1.0,0.75,1.0,9,99,0,3,12,99
RTIP,0.5225,0.771202,0.8,0.75,0.857143,0.958763,12,93,4,2,14,97
VINIP,0.48,0.734825,0.806452,0.757576,0.862069,0.902439,25,74,8,4,29,82
SFIP,0.33,0.668227,0.695652,0.8,0.615385,0.979592,8,96,2,5,13,98
PIP,0.11,0.439007,0.333333,0.2,1.0,0.963636,1,106,4,0,1,110
